avg_rss12_min_1,avg_rss12_max_1,avg_rss12_mean_1,avg_rss12_median_1,avg_rss12_Q1_1,avg_rss12_Q3_1,avg_rss12_std_1,avg_rss12_min_2,avg_rss12_max_2,avg_rss12_mean_2,avg_rss12_median_2,avg_rss12_Q1_2,avg_rss12_Q3_2,avg_rss12_std_2,avg_rss12_min_3,avg_rss12_max_1,avg_rss12_mean_3,avg_rss12_median_3,avg_rss12_Q1_3,avg_rss12_Q3_3,avg_rss12_std_3,avg_rss12_min_4,avg_rss12_max_4,avg_rss12_mean_4,avg_rss12_median_4,avg_rss12_Q1_4,avg_rss12_Q3_4,avg_rss12_std_4,avg_rss12_min_5,avg_rss12_max_5,avg_rss12_mean_5,avg_rss12_median_5,avg_rss12_Q1_5,avg_rss12_Q3_5,avg_rss12_std_5,avg_rss12_min_6,avg_rss12_max_6,avg_rss12_mean_6,avg_rss12_median_6,avg_rss12_Q1_6,avg_rss12_Q3_6,avg_rss12_std_6
36.25,48,43.969125,44.5,43.31,44.67,1.616676911,0,1.5,0.413125,0.47,0.43,0.5,0.2628367384,1.5,26.33,15.86802083,16.25,14.25,18,3.738519822,0,5.17,0.6663541667,0.47,0,0.94,0.7881623138,11.33,30.75,22.10375,21.67,20.5,23.75,3.314842772,0,2.96,0.5553125,0.49,0,0.83,0.4873178145
37,48,43.45495833,43.25,42.5,45,1.384653235,0,1.58,0.3780833333,0.47,0,0.5,0.3152374656,5.75,27,15.79333333,15,13,18.27,3.843627591,0,10.03,0.8493541667,0.5,0.43,1.12,0.9947236842,8,33.5,23.03479167,23.5,22.25,24,2.486268363,0,5.26,0.6796458333,0.5,0.43,0.87,0.6218849703
33,47.75,42.1798125,43.5,39.15,45,3.666840057,0,3,0.6960416667,0.5,0,1.12,0.6302028099,8.5,30,22.183625,23,20.5,24.3725,3.806498033,0,5.15,0.9899166667,0.83,0.43,1.3,0.9527364062,20,38.67,33.49391667,35,30.4575,36.33,3.845435887,0,2.18,0.6135208333,0.5,0,1,0.5237706833
33,45.75,41.6780625,41.75,41.33,42.75,2.241151814,0,2.83,0.5359791667,0.5,0.43,0.71,0.4050461388,3,28.25,19.0065625,19.125,16.5,22.0625,4.082847257,0,6.42,0.841875,0.5,0.43,1.12,0.9278327261,23.67,37.5,29.85708333,30,28.4575,31.25,2.408513596,0,1.79,0.3832916667,0.43,0,0.5,0.3887587061
37.25,45,40.62479167,40.5,39.25,42,1.475427607,0,1.3,0.3586041667,0.43,0,0.5,0.3222685371,4,29.5,19.0409375,19.25,16,23.25,4.458300657,0,7.23,0.8325416667,0.5,0,1.12,0.9646524624,27.25,38.25,34.31129167,35,33,36,2.186167784,0,1.92,0.5705833333,0.43,0,1.3,0.5823079738
38,45.67,42.8128125,42.5,42,43.67,1.43405377,0,1.22,0.3724375,0.47,0,0.5,0.2888571162,2,29.5,20.09697917,21,19,22.25,3.889678628,0,5.76,0.8764375,0.5,0,1.145,1.046167219,27.67,38.5,33.02458333,33,32,34.5,1.993175083,0,3.11,0.5710833333,0.43,0,1.3,0.6003832746
35,47.4,43.9545,44.33,43,45,1.557210433,0,1.7,0.42625,0.47,0,0.5,0.3383373871,6.5,29.75,22.12235417,23,19.75,24,3.027783926,0,4.44,0.4973125,0.43,0,0.83,0.5500833897,29,38.5,35.58845833,36,35.3625,36.5,1.997520056,0,1.79,0.4932916667,0.43,0,0.94,0.5129709202
25,47.5,31.05825,29.71,27.5,31.8125,4.824760773,0,6.38,0.4054583333,0.43,0,0.5,0.5660773268,2,28.33,15.29666667,15,13,17.75,4.836928534,0,5.32,0.8235416667,0.5,0,1.12,0.9013075908,0,40.33,14.4071875,13,9,18.3125,7.845241831,0,4.92,1.098104167,0.94,0.5,1.3,0.8306136973
34.3125,46.88375,41.21653906,41.255,39.755,42.4878125,2.275096825,0,2.43875,0.4482473958,0.4675,0.1075,0.60375,0.39110794,4.15625,28.5825,18.6760599,18.953125,16.5,21.244375,3.960523056,0,6.19,0.7971666667,0.52875,0.16125,1.086875,0.8907082241,18.365,37,28.22763281,28.39625,26.3784375,30.0803125,3.259645671,0,2.99125,0.6206041667,0.51875,0.11625,1.005,0.568501005
19,45.5,30.93810417,29,26.75,38,7.676137344,0,6.4,0.4671666667,0.43,0,0.5,0.7336790094,0,32.75,14.58983333,15.75,9.6875,20.69,7.630973778,0,11.42,0.7775416667,0.47,0,1.12,1.013045017,1.67,36,18.38908333,17.5,15,20.8125,5.839818561,0,6.73,1.107354167,0.83,0.47,1.3,1.079715375
12.75,51,24.56295833,24.25,23.1875,26.5,3.733618832,0,6.87,0.5908333333,0.43,0,0.71,0.8365353483,0,25.33,19.12133333,20.25,18,22,4.295131339,0,6.76,0.7367708333,0.47,0,0.87,0.9260814565,10.67,30,23.49304167,23.75,20.5,27,3.689936076,0,4.97,0.7001875,0.5,0.43,0.87,0.6929969383
0,42.75,27.46460417,28,25.5,30,3.579847449,0,7.76,0.4497083333,0.43,0,0.5,0.7663970892,7.5,35,20.84254167,20.75,18,22.5,3.822280487,0,5.76,0.7799166667,0.5,0,0.94,0.9034932169,0,33,17.6179375,18,15,20.75,5.048374957,0,6.76,1.122125,0.83,0.47,1.3,1.011286755
21,50,32.58620833,33,26.1875,34.5,6.231641855,0,9.9,0.516125,0.43,0,0.8225,0.7891337451,0,28.25,13.941625,14.25,10,18,5.877134742,0,7.4,0.8688958333,0.5,0.43,1.12,1.025942366,5,33.75,20.34570833,19.585,17.67,23.5,5.027179411,0,13.61,1.162041667,0.83,0.47,1.3,1.331590683
26.75,44.75,36.863375,36.33,34.5,39.75,3.552081119,0,11.68,2.7573125,2.23,1.22,4.0225,2.113752406,7,27,16.49475,16,14,19,3.584442882,0,9.01,3.013604167,2.86,1.56,4.0675,1.77268127,8,23,16.58114583,16.75,15,18.67,2.653137557,0,8.81,2.7733125,2.59,1.64,3.6325,1.568282655
25.33,45,37.1143125,36.25,34.5,40.25,3.706517619,0,10.84,2.73,2.24,1.3,3.7175,1.922360311,3,27.25,16.66391667,16.67,14.25,18.8125,3.608455994,0,10.57,3.138541667,2.87,1.79,4.11,1.845754689,6.75,23.33,16.48754167,16.67,14.75,18.5,2.844907987,0,9.5,3.076354167,2.77,1.7,4.0375,1.822632665
19,44,36.22839583,36,34,39,3.524939321,0,12.28,2.8316875,2.285,1.5,3.845,1.884722975,5.5,25.25,15.4245,15.25,13.33,17.5,3.246447315,0,9.5,3.119125,2.94,1.79,4.2175,1.681758648,2.5,24.5,15.872375,16,14,18.0625,3.163354197,0,9.98,3.4806875,3.34,2.1025,4.55,1.825864107
26.5,44.33,36.68729167,36,34.25,39.3725,3.525725776,0,12.89,2.973041667,2.36,1.41,4.2625,2.071741095,8.33,28.25,18.39679167,18,15.67,20.75,3.767167608,0,9.63,2.976604167,2.685,1.48,4.09,1.859789843,3,24.67,16.48,16.75,14.67,18.5,2.97513375,0,8.19,3.0733125,2.69,1.9125,4.0875,1.627976398
24.25,45,37.17704167,36.25,34.5,40.25,3.577568599,0,8.58,2.374208333,1.92,1.3,3.13,1.600129877,5.5,26.75,16.53108333,16.67,14.25,19,3.427330727,0,8.05,2.910604167,2.62,1.64,3.9175,1.598469401,7,25.5,19.60725,20,17.95,21.75,2.887334905,0,9.34,2.921729167,2.5,1.5,3.9,1.850669172
28.75,44.75,37.5611875,36.875,35.25,40.25,3.223144241,0,9.91,2.0806875,1.7,1.12,2.87,1.637549155,6.5,24.67,16.56704167,17,14,19.5,3.687554011,0,8.32,3.033875,2.95,1.79,4.03,1.623720517,10.5,24.33,19.51889583,20,18,21.5,2.724534408,0,9.62,2.765895833,2.45,1.41,3.77,1.767358678
22,44.67,37.05870833,36,34.5,40.0625,3.706312914,0,14.17,2.438145833,1.92,1.25,3.35,1.994806094,6.33,24,16.3883125,16.5,13.75,19,3.534263046,0,9.74,2.9806875,2.86,1.79,4,1.610378497,7.5,24.25,18.12595833,18.875,16,21,3.533457395,0,8.55,2.98375,2.57,1.5,4.15,1.813837351
27,45,36.81952083,36,33.75,40.25,3.896394271,0,10.47,2.600145833,2.12,1.3,3.87,1.819505593,5.67,25,15.302625,15,12.75,17.67,3.501279675,0,10.61,2.937020833,2.62,1.7,3.87,1.659732559,8.67,24.67,17.29627083,17.415,15.5,19.27,2.778132026,0,8.99,2.8875625,2.525,1.56,3.77,1.721298352
27,44.33,36.54166667,36,33.25,39.8125,4.014733871,0,10.43,2.847958333,2.45,1.3,4.15,1.890424665,6,27.67,16.1560625,16,14,18.05,3.435436004,0,9.63,3.055458333,2.87,1.7975,4.03,1.74057336,7.67,24.5,17.062625,16.75,15,19.5,3.084922302,0,9.18,3.225458333,2.87,1.885,4.2625,1.767913376
19,43.75,35.879875,36,33,39.5,4.610067921,0,11.2,3.4143125,2.92,1.655,4.845,2.235623036,7.67,26.5,16.690375,17,14.75,18.69,3.006226986,0,8.87,3.128354167,2.87,1.7225,4.3225,1.777615209,0,26.5,17.0783125,17,14.75,19.69,3.533947667,0,8.5,3.093020833,2.93,1.89,4.06,1.62433943
